customer_id,customer_name,email,city,created_at
1,Customer_1,customer1@gmail.com,Chennai,2026-01-01
2,Customer_2,customer2@gmail.com,Mumbai,2026-01-01
3,Customer_3,customer3@gmail.com,Mumbai,2026-01-01
4,Customer_4,customer4@gmail.com,Chennai,2026-01-01
5,Customer_5,customer5@gmail.com,Delhi,2026-01-01
6,Customer_6,customer6@gmail.com,Pune,2026-01-01
7,Customer_7,customer7@gmail.com,Pune,2026-01-01
8,Customer_8,customer8@gmail.com,Pune,2026-01-01
9,Customer_9,customer9@gmail.com,Chennai,2026-01-01
10,Customer_10,customer10@gmail.com,Mumbai,2026-01-01
11,Customer_11,customer11@gmail.com,Chennai,2026-01-01
12,Customer_12,customer12@gmail.com,Chennai,2026-01-01
13,Customer_13,customer13@gmail.com,Hyderabad,2026-01-01
14,Customer_14,customer14@gmail.com,Mumbai,2026-01-01
15,Customer_15,customer15@gmail.com,Hyderabad,2026-01-01
16,Customer_16,customer16@gmail.com,Bengaluru,2026-01-01
17,Customer_17,customer17@gmail.com,Mumbai,2026-01-01
18,Customer_18,customer18@gmail.com,Mumbai,2026-01-01
19,Customer_19,customer19@gmail.com,Mumbai,2026-01-01
20,Customer_20,customer20@gmail.com,Pune,2026-01-01
21,Customer_21,customer21@gmail.com,Pune,2026-01-01
22,Customer_22,customer22@gmail.com,Hyderabad,2026-01-01
23,Customer_23,customer23@gmail.com,Hyderabad,2026-01-01
24,Customer_24,customer24@gmail.com,Mumbai,2026-01-01
25,Customer_25,customer25@gmail.com,Hyderabad,2026-01-01
26,Customer_26,customer26@gmail.com,Pune,2026-01-01
27,Customer_27,customer27@gmail.com,Chennai,2026-01-01
28,Customer_28,customer28@gmail.com,Chennai,2026-01-01
29,Customer_29,customer29@gmail.com,Chennai,2026-01-01
30,Customer_30,customer30@gmail.com,Hyderabad,2026-01-01
31,Customer_31,customer31@gmail.com,Bengaluru,2026-01-01
32,Customer_32,customer32@gmail.com,Pune,2026-01-01
33,Customer_33,customer33@gmail.com,Bengaluru,2026-01-01
34,Customer_34,customer34@gmail.com,Hyderabad,2026-01-01
35,Customer_35,customer35@gmail.com,Delhi,2026-01-01
36,Customer_36,customer36@gmail.com,Nashik,2026-01-01
37,Customer_37,customer37@gmail.com,Nashik,2026-01-01
38,Customer_38,customer38@gmail.com,Mumbai,2026-01-01
39,Customer_39,customer39@gmail.com,Nashik,2026-01-01
40,Customer_40,customer40@gmail.com,Nashik,2026-01-01
41,Customer_41,customer41@gmail.com,Pune,2026-01-01
42,Customer_42,customer42@gmail.com,Chennai,2026-01-01
43,Customer_43,customer43@gmail.com,Bengaluru,2026-01-01
44,Customer_44,customer44@gmail.com,Delhi,2026-01-01
45,Customer_45,customer45@gmail.com,Delhi,2026-01-01
46,Customer_46,customer46@gmail.com,Pune,2026-01-01
47,Customer_47,customer47@gmail.com,Pune,2026-01-01
48,Customer_48,customer48@gmail.com,Nashik,2026-01-01
49,Customer_49,customer49@gmail.com,Delhi,2026-01-01
50,Customer_50,customer50@gmail.com,Mumbai,2026-01-01
51,Customer_51,customer51@gmail.com,Mumbai,2026-01-01
52,Customer_52,customer52@gmail.com,Bengaluru,2026-01-01
53,Customer_53,customer53@gmail.com,Mumbai,2026-01-01
54,Customer_54,customer54@gmail.com,Delhi,2026-01-01
55,Customer_55,customer55@gmail.com,Nashik,2026-01-01
56,Customer_56,customer56@gmail.com,Delhi,2026-01-01
57,Customer_57,customer57@gmail.com,Hyderabad,2026-01-01
58,Customer_58,customer58@gmail.com,Delhi,2026-01-01
59,Customer_59,customer59@gmail.com,Nashik,2026-01-01
60,Customer_60,customer60@gmail.com,Mumbai,2026-01-01
61,Customer_61,customer61@gmail.com,Chennai,2026-01-01
62,Customer_62,customer62@gmail.com,Bengaluru,2026-01-01
63,Customer_63,customer63@gmail.com,Hyderabad,2026-01-01
64,Customer_64,customer64@gmail.com,Mumbai,2026-01-01
65,Customer_65,customer65@gmail.com,Bengaluru,2026-01-01
66,Customer_66,customer66@gmail.com,Mumbai,2026-01-01
67,Customer_67,customer67@gmail.com,Hyderabad,2026-01-01
68,Customer_68,customer68@gmail.com,Delhi,2026-01-01
69,Customer_69,customer69@gmail.com,Nashik,2026-01-01
70,Customer_70,customer70@gmail.com,Chennai,2026-01-01
71,Customer_71,customer71@gmail.com,Hyderabad,2026-01-01
72,Customer_72,customer72@gmail.com,Nashik,2026-01-01
73,Customer_73,customer73@gmail.com,Delhi,2026-01-01
74,Customer_74,customer74@gmail.com,Hyderabad,2026-01-01
75,Customer_75,customer75@gmail.com,Pune,2026-01-01
76,Customer_76,customer76@gmail.com,Chennai,2026-01-01
77,Customer_77,customer77@gmail.com,Mumbai,2026-01-01
78,Customer_78,customer78@gmail.com,Mumbai,2026-01-01
79,Customer_79,customer79@gmail.com,Chennai,2026-01-01
80,Customer_80,customer80@gmail.com,Pune,2026-01-01
81,Customer_81,customer81@gmail.com,Nashik,2026-01-01
82,Customer_82,customer82@gmail.com,Delhi,2026-01-01
83,Customer_83,customer83@gmail.com,Mumbai,2026-01-01
84,Customer_84,customer84@gmail.com,Nashik,2026-01-01
85,Customer_85,customer85@gmail.com,Pune,2026-01-01
86,Customer_86,customer86@gmail.com,Nashik,2026-01-01
87,Customer_87,customer87@gmail.com,Mumbai,2026-01-01
88,Customer_88,customer88@gmail.com,Bengaluru,2026-01-01
89,Customer_89,customer89@gmail.com,Delhi,2026-01-01
90,Customer_90,customer90@gmail.com,Bengaluru,2026-01-01
91,Customer_91,customer91@gmail.com,Chennai,2026-01-01
92,Customer_92,customer92@gmail.com,Nashik,2026-01-01
93,Customer_93,customer93@gmail.com,Delhi,2026-01-01
94,Customer_94,customer94@gmail.com,Pune,2026-01-01
95,Customer_95,customer95@gmail.com,Delhi,2026-01-01
96,Customer_96,customer96@gmail.com,Delhi,2026-01-01
97,Customer_97,customer97gmail.com,Pune,2026-01-01
98,Customer_98,customer98@gmail.com,Chennai,2026-01-01
99,Customer_99,customer99@gmail.com,Delhi,2026-01-01
100,Customer_100,customer100@gmail.com,Chennai,2026-01-01
101,Customer_101,customer101@gmail.com,Chennai,2026-01-01
102,Customer_102,customer102@gmail.com,Chennai,2026-01-01
103,Customer_103,customer103@gmail.com,Mumbai,2026-01-01
104,Customer_104,customer104@gmail.com,Hyderabad,2026-01-01
105,Customer_105,customer105@gmail.com,Chennai,2026-01-01
106,Customer_106,customer106@gmail.com,Pune,2026-01-01
107,Customer_107,customer107@gmail.com,Hyderabad,2026-01-01
108,Customer_108,customer108@gmail.com,Chennai,2026-01-01
109,Customer_109,customer109@gmail.com,Pune,2026-01-01
110,Customer_110,customer110@gmail.com,Pune,2026-01-01
111,Customer_111,customer111@gmail.com,Bengaluru,2026-01-01
112,Customer_112,customer112@gmail.com,Bengaluru,2026-01-01
113,Customer_113,customer113@gmail.com,Delhi,2026-01-01
114,Customer_114,customer114@gmail.com,Chennai,2026-01-01
115,Customer_115,customer115@gmail.com,Chennai,2026-01-01
116,Customer_116,customer116@gmail.com,Hyderabad,2026-01-01
117,Customer_117,customer117@gmail.com,Pune,2026-01-01
118,Customer_118,customer118@gmail.com,Chennai,2026-01-01
119,Customer_119,customer119@gmail.com,Delhi,2026-01-01
120,Customer_120,customer120@gmail.com,Nashik,2026-01-01
121,Customer_121,customer121@gmail.com,Nashik,2026-01-01
122,Customer_122,customer122@gmail.com,Nashik,2026-01-01
123,Customer_123,customer123@gmail.com,Mumbai,2026-01-01
124,Customer_124,customer124@gmail.com,Pune,2026-01-01
125,Customer_125,customer125@gmail.com,Nashik,2026-01-01
126,Customer_126,customer126@gmail.com,Mumbai,2026-01-01
127,Customer_127,customer127@gmail.com,Nashik,2026-01-01
128,Customer_128,customer128@gmail.com,Delhi,2026-01-01
129,Customer_129,customer129@gmail.com,Bengaluru,2026-01-01
130,Customer_130,customer130@gmail.com,Delhi,2026-01-01
131,Customer_131,customer131@gmail.com,Mumbai,2026-01-01
132,Customer_132,customer132@gmail.com,Pune,2026-01-01
133,Customer_133,customer133@gmail.com,Hyderabad,2026-01-01
134,Customer_134,customer134@gmail.com,Chennai,2026-01-01
135,Customer_135,customer135@gmail.com,Delhi,2026-01-01
136,Customer_136,customer136@gmail.com,Pune,2026-01-01
137,Customer_137,customer137@gmail.com,Chennai,2026-01-01
138,Customer_138,customer138@gmail.com,Bengaluru,2026-01-01
139,Customer_139,customer139@gmail.com,Bengaluru,2026-01-01
140,Customer_140,customer140@gmail.com,Chennai,2026-01-01
141,Customer_141,customer141@gmail.com,Bengaluru,2026-01-01
142,Customer_142,customer142@gmail.com,Pune,2026-01-01
143,Customer_143,customer143@gmail.com,Delhi,2026-01-01
144,Customer_144,customer144@gmail.com,Pune,2026-01-01
145,Customer_145,customer145@gmail.com,Pune,2026-01-01
146,Customer_146,customer146@gmail.com,Chennai,2026-01-01
147,Customer_147,customer147@gmail.com,Hyderabad,2026-01-01
148,Customer_148,customer148@gmail.com,Hyderabad,2026-01-01
149,Customer_149,customer149@gmail.com,Delhi,2026-01-01
150,Customer_150,customer150@gmail.com,Chennai,2026-01-01
151,Customer_151,customer151@gmail.com,Hyderabad,2026-01-01
152,Customer_152,customer152@gmail.com,Bengaluru,2026-01-01
153,Customer_153,customer153@gmail.com,Hyderabad,2026-01-01
154,Customer_154,customer154@gmail.com,Bengaluru,2026-01-01
155,Customer_155,customer155@gmail.com,Delhi,2026-01-01
156,Customer_156,customer156@gmail.com,Pune,2026-01-01
